direct_control,cyear,SP_ISIN,ids,scope1_abs,scope2_loc_abs,scope3_down_abs,scope3_up_abs
192475.517,2018,CA2849025093,26539,62661.137,98275.417,25.53351735015773,87512.364
235776.801,2019,CA2849025093,26539,77671.049,112550.736,9.431363672119684,114032.591
278531.279,2020,CA2849025093,26539,89831.0,125470.0,27.17117774195591,180575.348
299022.065,2021,CA2849025093,26539,121969.0,118517.0,53.53773764658619,173420.741
251458.494,2022,CA2849025093,26539,,,,
476020.674468704,2015,US34959J1088,26590,69024.91900541013,124108.9848479898,,880934.9113727096
502033.717672741,2016,US34959J1088,26590,67836.71464962795,127495.6481138086,,957070.5523749044
558257.812631313,2017,US34959J1088,26590,71134.78359606706,147573.9789380707,1404.862414963942,1075394.378895656
407317.696923568,2018,US34959J1088,26590,34845.03440000003,67581.99999998216,1571.198499852775,983034.441254431
409196.604,2019,US34959J1088,26590,22821.0,65138.0,514.5502155737705,1028125.452
276344.173,2020,US34959J1088,26590,23359.97,43121.0,946.8668761867772,662495.972
254583.226,2021,US34959J1088,26590,16906.593,41096.6,2399.076327858869,693465.244
223183.936,2022,US34959J1088,26590,,,,
,2002,,2663,372025.406527432,431544.4156453694,,5574880.011734575
,2003,,2663,392183.596761212,443879.62448936,,5637516.753778328
,2004,,2663,405885.472044576,449890.1346088105,,5545479.494348682
,2005,,2663,428216.3218351044,437334.1531577548,,5725999.824422114
,2006,,2663,407445.4752680525,397619.9309518996,,5269051.64828686
,2007,,2663,426954.4282112767,401428.4536573658,,5423239.673615878
,2008,,2663,426233.994319134,399364.7804214191,,4265453.557456288
,2009,,2663,492833.1443994064,386939.9799999584,,5086576.590063349
3422520.80724716,2010,US1344291091,2663,470839.6984529638,382083.9900000031,,4927436.91462124
3214498.19802025,2011,US1344291091,2663,459734.8971143838,346772.9978704351,,4597722.653109933
2751431.4887962,2012,US1344291091,2663,381976.3411788832,35464.99829509637,,4519125.857422789
3158642.0702683,2013,US1344291091,2663,407232.0663508368,345385.60432491,,4653966.520571958
3086214.22943011,2014,US1344291091,2663,385789.4589014568,317207.999999993,,4515360.592461916
2937581.8904058,2015,US1344291091,2663,424382.3246000001,311826.0000000235,,4279132.115089988
2870993.87061678,2016,US1344291091,2663,409975.6470000001,310914.0000000207,,4602828.698281485
3030750.332,2017,US1344291091,2663,416838.0,334869.934,100.4518236121673,4895724.957
3036469.31790003,2018,US1344291091,2663,421970.1040000002,312966.9999999673,98.45170893494532,5231088.35974797
2707992.149,2019,US1344291091,2663,434869.049,214578.202,52.63578639447391,4718246.675
2945339.284,2020,US1344291091,2663,469912.0,251477.0,109.6521976527442,5091588.479
2715583.498,2021,US1344291091,2663,465257.0,222266.0,90.16753079085028,4955579.118
1999516.29,2022,US1344291091,2663,,,,
1406069.49900966,2015,US05351W1036,26658,1208023.620101193,5687.364919616683,,400754.7986042914
1535037.19080551,2016,US05351W1036,26658,1121943.876080664,44163.00000003241,,683358.98917408
2120878.0800435,2017,US05351W1036,26658,1007728.922027235,704656.9999999491,763.760342445078,747722.3400266339
2122066.77794838,2018,US05351W1036,26658,1344715.097629209,381533.9999999898,475.7445662241432,743446.023892269
2432733.22,2019,US05351W1036,26658,1857939.649,225223.977,1952.585358157147,662170.282
2175509.26,2020,US05351W1036,26658,1468975.309,316157.0,1829.397117088608,709859.3
2507704.883,2021,US05351W1036,26658,1580717.599,402350.0,2648.090973616289,907446.389
1986982.225,2022,US05351W1036,26658,,,,
14122221.4285347,2010,JE00B4T3BW64,267407,6900954.410791007,2521066.445520119,,12193922.52075081
16692378.7498828,2011,JE00B4T3BW64,267407,8074850.836199997,2842209.750000003,,14972974.83369723
21262148.1465136,2012,JE00B4T3BW64,267407,10452999.6036,4904000.000000023,,16136705.14245167
47303394.2299372,2013,JE00B4T3BW64,267407,25999999.84790003,13299999.99999996,,20790079.11954308
43287717.6639108,2014,JE00B4T3BW64,267407,23186139.5147,13380598.0,,18725833.86817262
41912519.4743393,2015,JE00B4T3BW64,267407,23460861.82160024,13539139.00000002,,14183969.17454426
39459373.1619645,2016,JE00B4T3BW64,267407,22896564.19670019,12664617.00000002,,12066327.2117558
38699128.8693842,2017,JE00B4T3BW64,267407,21599999.54480019,11899999.99999995,3179.224616325776,16443657.96572428
36141743.0476918,2018,JE00B4T3BW64,267407,18499999.91530017,11800000.00000008,3218.277361504227,17701101.34688303
34935260.9883458,2019,JE00B4T3BW64,267407,18295000.61489957,10944000.0,1650.551018776353,16266897.62373714
28841862.926,2020,JE00B4T3BW64,267407,15029000.0,9315000.0,2006.255733540064,12253356.104
33273123.409,2021,JE00B4T3BW64,267407,14954000.0,10770000.0,1447.677805753101,19656344.631
34893163.015,2022,JE00B4T3BW64,267407,,,,
31083.6128342562,2012,GB00BY9D0Y18,268159,4073.320289045503,13491.07498864905,,179097.4910981687
41715.6120524884,2013,GB00BY9D0Y18,268159,8424.064500000002,22199.99999997611,,146818.2489645127
37740.1037172806,2014,GB00BY9D0Y18,268159,7784.9114,19523.99999991062,,141519.8135924007
32316.1299230672,2015,GB00BY9D0Y18,268159,7642.9494,15235.597616469,,124941.9107072524
28237.1689199547,2016,GB00BY9D0Y18,268159,7383.026000000002,11931.99999997312,,125967.5250974002
28367.7861539562,2017,GB00BY9D0Y18,268159,8026.972400000003,9371.209960912867,2.556049493956527,137239.2006195241
26680.9004566325,2018,GB00BY9D0Y18,268159,8303.881800000001,7915.220214822185,4.27274107543605,123839.3446602769
24454.5110939887,2019,GB00BY9D0Y18,268159,9398.034999999996,6608.959960907732,0.925577827603296,105007.3665926869
19220.508,2020,GB00BY9D0Y18,268159,8251.0,3886.521,2.222026399616268,100697.962
18437.878,2021,GB00BY9D0Y18,268159,7997.0,3155.0,1.781348072130569,111512.879
15080.176,2022,GB00BY9D0Y18,268159,,,,
,2004,,2696,3201833.610090223,18455.02125339675,,974342.0120347022
,2005,,2696,4633113.901809637,19047.38653981885,,958939.2958084806
,2006,,2696,4670748.204058985,19161.19773440707,,907804.4250505732
,2007,,2696,4363197.0,21632.4673281912,,1033504.47429882
,2008,,2696,3697496.945518617,18372.36036763975,,795044.1236170088
,2009,,2696,4158153.125873632,226442.9999999807,,878262.5255644133
5098738.84533141,2010,CA1363751027,2696,4584603.967300001,194268.0000000026,,945349.3630966884
